product_id,product_name,category,subcategory,origin,list_price,base_unit_cost,launch_date,active_flag
79,Cascade Blend Light 2lb,Retail Beans,Blend,Cascade Blend,26.0,12.37,2022-01-01,0
80,Costa Rica Tarrazu Medium 5lb,Retail Beans,Single Origin,Costa Rica Tarrazu,24.5,11.86,2022-01-01,0
81,Pearl District Reserve Light 5lb,Retail Beans,Blend,Pearl District Reserve,37.5,17.93,2022-01-01,1
82,Espresso Blend Medium 5lb,Retail Beans,Blend,Espresso Blend,20.5,9.09,2022-06-01,1
83,Peru Cajamarca Dark 2lb,Retail Beans,Single Origin,Peru Cajamarca,18.0,9.28,2024-01-01,1
84,Mexico Chiapas Light 5lb,Retail Beans,Single Origin,Mexico Chiapas,13.0,6.69,2024-01-01,1
85,Kenya AA Dark 5lb,Retail Beans,Single Origin,Kenya AA,23.0,11.24,2022-01-01,1
86,Honduras Marcala Light 12oz,Retail Beans,Single Origin,Honduras Marcala,31.5,12.32,2022-01-01,0
87,Guatemala Antigua Dark 2lb,Retail Beans,Single Origin,Guatemala Antigua,24.0,10.29,2023-01-01,1
88,Bridgetown Blend Dark 5lb,Retail Beans,Blend,Bridgetown Blend,28.0,10.74,2022-06-01,1
89,Ethiopia Yirgacheffe Medium 5lb,Retail Beans,Single Origin,Ethiopia Yirgacheffe,39.5,20.84,2022-01-01,1
90,Ethiopia Yirgacheffe Light 12oz,Retail Beans,Single Origin,Ethiopia Yirgacheffe,26.0,11.76,2022-06-01,1
91,Ethiopia Yirgacheffe Medium 12oz,Retail Beans,Single Origin,Ethiopia Yirgacheffe,16.0,7.17,2022-01-01,0
92,Pearl District Reserve Light 12oz,Retail Beans,Blend,Pearl District Reserve,18.5,8.3,2022-01-01,0
93,Bridgetown Blend Light 12oz,Retail Beans,Blend,Bridgetown Blend,36.5,22.63,2023-01-01,1
94,Ethiopia Yirgacheffe Light 12oz,Retail Beans,Single Origin,Ethiopia Yirgacheffe,27.0,10.81,2022-01-01,0
95,Sumatra Mandheling Medium 12oz,Retail Beans,Single Origin,Sumatra Mandheling,37.5,21.33,2022-01-01,1
96,Kenya AA Light 12oz,Retail Beans,Single Origin,Kenya AA,15.5,7.07,2022-06-01,1
97,Colombia Huila Light 2lb,Retail Beans,Single Origin,Colombia Huila,18.5,9.47,2023-01-01,1
98,Ethiopia Yirgacheffe Dark 2lb,Retail Beans,Single Origin,Ethiopia Yirgacheffe,19.0,8.71,2022-01-01,0
99,Kenya AA Medium 5lb,Retail Beans,Single Origin,Kenya AA,14.5,6.63,2022-01-01,1
100,Honduras Marcala Medium 2lb,Retail Beans,Single Origin,Honduras Marcala,18.0,8.47,2023-07-01,1
101,Colombia Huila Medium 12oz,Retail Beans,Single Origin,Colombia Huila,23.5,13.52,2024-09-01,0
102,Sumatra Mandheling Medium 5lb,Retail Beans,Single Origin,Sumatra Mandheling,16.0,6.62,2024-01-01,1
103,Colombia Huila Medium 2lb,Retail Beans,Single Origin,Colombia Huila,19.0,9.51,2023-07-01,1
104,Ethiopia Guji Medium 2lb,Retail Beans,Single Origin,Ethiopia Guji,12.0,4.73,2022-01-01,1
105,Ethiopia Guji Light 5lb,Retail Beans,Single Origin,Ethiopia Guji,26.0,13.81,2024-01-01,1
106,Bridgetown Blend Medium 2lb,Retail Beans,Blend,Bridgetown Blend,22.5,11.19,2022-01-01,1
107,Ethiopia Guji Medium 2lb,Retail Beans,Single Origin,Ethiopia Guji,31.5,17.95,2022-01-01,1
108,Guatemala Antigua Medium 2lb,Retail Beans,Single Origin,Guatemala Antigua,38.5,19.74,2024-01-01,1
109,Colombia Huila Medium 5lb,Retail Beans,Single Origin,Colombia Huila,26.0,12.32,2022-01-01,1
110,Cascade Blend Light 2lb,Retail Beans,Blend,Cascade Blend,25.0,10.65,2024-09-01,1
111,Bridgetown Blend Dark 5lb,Retail Beans,Blend,Bridgetown Blend,17.5,8.86,2022-01-01,0
112,Ethiopia Guji Light 12oz,Retail Beans,Single Origin,Ethiopia Guji,18.0,9.66,2024-01-01,1
113,Kenya AA Dark 5lb,Retail Beans,Single Origin,Kenya AA,14.5,9.04,2022-01-01,1
114,Ethiopia Yirgacheffe Light 12oz,Retail Beans,Single Origin,Ethiopia Yirgacheffe,12.5,6.19,2022-01-01,1
115,Cascade Blend Medium 5lb,Retail Beans,Blend,Cascade Blend,14.5,6.48,2022-01-01,1
116,Colombia Huila Dark 2lb,Retail Beans,Single Origin,Colombia Huila,38.5,20.86,2024-01-01,1
117,Rwanda Nyungwe Medium 2lb,Retail Beans,Single Origin,Rwanda Nyungwe,19.5,9.3,2022-01-01,1
118,Peru Cajamarca Light 2lb,Retail Beans,Single Origin,Peru Cajamarca,30.0,13.41,2022-01-01,1
119,Sumatra Mandheling Light 12oz,Retail Beans,Single Origin,Sumatra Mandheling,26.5,15.03,2022-01-01,1
120,Ethiopia Guji Medium 5lb,Retail Beans,Single Origin,Ethiopia Guji,30.0,16.48,2022-01-01,0
121,House Blend Medium 5lb,Retail Beans,Blend,House Blend,35.0,16.31,2022-01-01,1
122,Morning Roast Dark 2lb,Retail Beans,Blend,Morning Roast,12.5,6.32,2023-01-01,1
123,Ethiopia Yirgacheffe Light 12oz,Retail Beans,Single Origin,Ethiopia Yirgacheffe,17.0,9.97,2022-01-01,1
124,Ethiopia Yirgacheffe Medium 12oz,Retail Beans,Single Origin,Ethiopia Yirgacheffe,21.0,9.4,2022-01-01,1
125,Sumatra Mandheling Light 5lb,Retail Beans,Single Origin,Sumatra Mandheling,14.5,8.2,2022-01-01,1
126,Ethiopia Yirgacheffe Dark 2lb,Retail Beans,Single Origin,Ethiopia Yirgacheffe,15.5,8.01,2023-01-01,0
127,Brazil Cerrado Light 2lb,Retail Beans,Single Origin,Brazil Cerrado,26.0,13.31,2022-01-01,1
128,Morning Roast Dark 5lb,Retail Beans,Blend,Morning Roast,47.5,15.53,2022-01-01,1
129,Bridgetown Blend Dark 12oz,Retail Beans,Blend,Bridgetown Blend,21.0,9.35,2022-06-01,1
130,Ethiopia Guji Medium 5lb,Retail Beans,Single Origin,Ethiopia Guji,11.5,5.75,2022-01-01,1
131,Mexico Chiapas Light 12oz,Retail Beans,Single Origin,Mexico Chiapas,13.5,6.62,2022-01-01,1
132,Ethiopia Guji Medium 12oz,Retail Beans,Single Origin,Ethiopia Guji,15.0,17.16,2022-01-01,1
133,Morning Roast Medium 2lb,Retail Beans,Blend,Morning Roast,14.5,7.03,2022-01-01,1
134,Sumatra Mandheling Light 2lb,Retail Beans,Single Origin,Sumatra Mandheling,14.0,6.06,2023-01-01,1
135,House Blend Light 2lb,Retail Beans,Blend,House Blend,14.0,6.4,2022-01-01,1
136,Costa Rica Tarrazu Medium 12oz,Retail Beans,Single Origin,Costa Rica Tarrazu,22.0,8.91,2024-09-01,1
137,Ethiopia Guji Light 5lb,Retail Beans,Single Origin,Ethiopia Guji,21.0,8.19,2023-07-01,1
138,Espresso Blend Medium 2lb,Retail Beans,Blend,Espresso Blend,20.5,12.61,2022-01-01,1
139,Willamette Dark Light 12oz,Retail Beans,Blend,Willamette Dark,11.5,4.75,2022-01-01,1
140,Ethiopia Yirgacheffe Light 12oz,Retail Beans,Single Origin,Ethiopia Yirgacheffe,14.0,7.48,2022-01-01,0
141,Pearl District Reserve Medium 12oz,Retail Beans,Blend,Pearl District Reserve,24.0,11.54,2022-06-01,1
142,Rwanda Nyungwe Medium 12oz,Retail Beans,Single Origin,Rwanda Nyungwe,14.0,7.58,2022-01-01,1
143,Mexico Chiapas Light 12oz,Retail Beans,Single Origin,Mexico Chiapas,12.0,5.56,2024-09-01,1
144,Honduras Marcala Dark 12oz,Retail Beans,Single Origin,Honduras Marcala,14.5,6.48,2022-01-01,1
145,Honduras Marcala Light 12oz,Retail Beans,Single Origin,Honduras Marcala,20.5,12.6,2022-01-01,1
146,Bridgetown Blend Light 2lb,Retail Beans,Blend,Bridgetown Blend,43.0,18.24,2022-01-01,1
147,Mexico Chiapas Medium 2lb,Retail Beans,Single Origin,Mexico Chiapas,20.0,10.82,2024-09-01,1
148,Guatemala Antigua Medium 5lb,Retail Beans,Single Origin,Guatemala Antigua,40.5,17.89,2024-09-01,0
149,Brazil Cerrado Light 2lb,Retail Beans,Single Origin,Brazil Cerrado,24.5,14.38,2023-07-01,1
150,Kenya AA Light 2lb,Retail Beans,Single Origin,Kenya AA,15.0,5.98,2022-01-01,0
151,Brazil Cerrado Light 5lb,Retail Beans,Single Origin,Brazil Cerrado,28.5,13.58,2022-01-01,0
152,Ethiopia Guji Dark 12oz,Retail Beans,Single Origin,Ethiopia Guji,17.0,8.15,2023-01-01,1
153,Ethiopia Guji Light 5lb,Retail Beans,Single Origin,Ethiopia Guji,22.0,12.21,2022-01-01,1
154,Morning Roast Light 12oz,Retail Beans,Blend,Morning Roast,26.0,10.83,2024-09-01,1
155,Espresso Blend Dark 5lb,Retail Beans,Blend,Espresso Blend,16.0,6.44,2023-01-01,1
156,Costa Rica Tarrazu Medium 5lb,Retail Beans,Single Origin,Costa Rica Tarrazu,23.0,11.32,2022-01-01,1
157,Ethiopia Yirgacheffe Medium 5lb,Retail Beans,Single Origin,Ethiopia Yirgacheffe,18.0,8.38,2024-09-01,1
158,Mexico Chiapas Light 2lb,Retail Beans,Single Origin,Mexico Chiapas,13.0,5.99,2023-07-01,1
159,Kenya AA Medium 12oz,Retail Beans,Single Origin,Kenya AA,12.5,5.09,2022-01-01,1
160,Peru Cajamarca Dark 2lb,Retail Beans,Single Origin,Peru Cajamarca,32.0,16.81,2022-01-01,1
161,Morning Roast Medium 5lb,Retail Beans,Blend,Morning Roast,35.0,16.73,2022-01-01,1
162,Colombia Huila Dark 5lb,Retail Beans,Single Origin,Colombia Huila,20.5,8.79,2022-01-01,0
163,Rwanda Nyungwe Light 2lb,Retail Beans,Single Origin,Rwanda Nyungwe,17.5,8.11,2022-06-01,0
164,House Blend Light 5lb,Retail Beans,Blend,House Blend,37.5,20.21,2022-01-01,1
165,Guatemala Antigua Medium 12oz,Retail Beans,Single Origin,Guatemala Antigua,20.0,10.09,2022-01-01,1
166,Cascade Blend Medium 12oz,Retail Beans,Blend,Cascade Blend,27.5,13.1,2023-01-01,0
167,Rose City Roast Dark 2lb,Retail Beans,Blend,Rose City Roast,23.0,10.73,2023-07-01,1
168,Brazil Cerrado Dark 12oz,Retail Beans,Single Origin,Brazil Cerrado,19.0,7.7,2022-01-01,1
169,Kenya AA Medium 2lb,Retail Beans,Single Origin,Kenya AA,13.5,6.45,2022-01-01,1
170,Colombia Huila Light 2lb,Retail Beans,Single Origin,Colombia Huila,35.5,34.73,2022-01-01,1
171,Espresso Blend Light 2lb,Retail Beans,Blend,Espresso Blend,24.5,12.09,2023-01-01,1
172,Cascade Blend Light 5lb,Retail Beans,Blend,Cascade Blend,27.0,12.06,2024-01-01,0
173,Guatemala Antigua Dark 12oz,Retail Beans,Single Origin,Guatemala Antigua,37.0,14.73,2024-01-01,0
174,Willamette Dark Light 12oz,Retail Beans,Blend,Willamette Dark,20.0,9.8,2022-06-01,1
175,Costa Rica Tarrazu Medium 2lb,Retail Beans,Single Origin,Costa Rica Tarrazu,25.5,11.55,2022-06-01,1
176,Mexico Chiapas Medium 12oz,Retail Beans,Single Origin,Mexico Chiapas,31.5,15.29,2024-09-01,1
177,Morning Roast Medium 12oz,Retail Beans,Blend,Morning Roast,22.0,10.18,2022-06-01,1
178,Brazil Cerrado Medium 2lb,Retail Beans,Single Origin,Brazil Cerrado,23.5,13.71,2022-01-01,1
179,Espresso Blend Dark 12oz,Retail Beans,Blend,Espresso Blend,13.0,4.49,2023-07-01,1
180,Bridgetown Blend Dark 12oz,Retail Beans,Blend,Bridgetown Blend,25.0,12.16,2022-06-01,1
181,Cascade Blend Medium 12oz,Retail Beans,Blend,Cascade Blend,18.0,8.95,2024-01-01,1
182,Pearl District Reserve Medium 5lb,Retail Beans,Blend,Pearl District Reserve,29.5,12.2,2022-01-01,1
183,Honduras Marcala Medium 2lb,Retail Beans,Single Origin,Honduras Marcala,35.0,15.26,2024-01-01,1
184,Ethiopia Guji Dark 5lb,Retail Beans,Single Origin,Ethiopia Guji,25.5,11.32,2022-01-01,1
185,Peru Cajamarca Dark 2lb,Retail Beans,Single Origin,Peru Cajamarca,21.5,10.46,2022-01-01,1
186,Rose City Roast Medium 5lb,Retail Beans,Blend,Rose City Roast,27.5,13.3,2022-01-01,1
187,Sumatra Mandheling Dark 2lb,Retail Beans,Single Origin,Sumatra Mandheling,25.5,12.81,2022-06-01,1
188,Sumatra Mandheling Medium 5lb,Retail Beans,Single Origin,Sumatra Mandheling,20.0,11.59,2023-01-01,0
189,Cascade Blend Dark 12oz,Retail Beans,Blend,Cascade Blend,24.5,11.26,2022-01-01,0
190,Rose City Roast Dark 5lb,Retail Beans,Blend,Rose City Roast,40.0,19.21,2022-01-01,1
191,Colombia Huila Dark 12oz,Retail Beans,Single Origin,Colombia Huila,22.0,10.56,2024-01-01,1
192,Pearl District Reserve Medium 5lb,Retail Beans,Blend,Pearl District Reserve,17.0,7.17,2023-07-01,0
193,Willamette Dark Medium 2lb,Retail Beans,Blend,Willamette Dark,19.5,10.48,2023-01-01,1
194,House Blend Dark 5lb,Retail Beans,Blend,House Blend,14.5,8.16,2022-01-01,0
195,WS Rose City Roast 2lb,Wholesale Beans,Wholesale,Rose City Roast,31.5,19.82,2022-01-01,1
196,WS Costa Rica Tarrazu 2lb,Wholesale Beans,Wholesale,Costa Rica Tarrazu,30.0,20.53,2022-01-01,1
197,WS Peru Cajamarca 5lb,Wholesale Beans,Wholesale,Peru Cajamarca,44.0,27.89,2022-01-01,1
198,WS Peru Cajamarca 5lb,Wholesale Beans,Wholesale,Peru Cajamarca,20.5,13.43,2024-01-01,1
199,WS Costa Rica Tarrazu 5lb,Wholesale Beans,Wholesale,Costa Rica Tarrazu,30.5,18.71,2022-01-01,0
200,WS Kenya AA 5lb,Wholesale Beans,Wholesale,Kenya AA,19.5,12.79,2023-01-01,0
201,WS Kenya AA 5lb,Wholesale Beans,Wholesale,Kenya AA,42.0,26.21,2023-01-01,1
202,WS Brazil Cerrado 2lb,Wholesale Beans,Wholesale,Brazil Cerrado,29.0,16.91,2022-01-01,0
203,WS Kenya AA 2lb,Wholesale Beans,Wholesale,Kenya AA,31.5,35.12,2022-01-01,1
204,WS Bridgetown Blend 2lb,Wholesale Beans,Wholesale,Bridgetown Blend,39.5,25.06,2023-01-01,0
205,WS Costa Rica Tarrazu 2lb,Wholesale Beans,Wholesale,Costa Rica Tarrazu,33.5,22.76,2022-01-01,0
206,WS Mexico Chiapas 2lb,Wholesale Beans,Wholesale,Mexico Chiapas,32.0,20.36,2022-01-01,1
207,WS Willamette Dark 5lb,Wholesale Beans,Wholesale,Willamette Dark,45.0,28.61,2024-01-01,1
208,WS Peru Cajamarca 5lb,Wholesale Beans,Wholesale,Peru Cajamarca,35.0,21.62,2023-01-01,0
209,WS Kenya AA 5lb,Wholesale Beans,Wholesale,Kenya AA,48.0,31.32,2023-07-01,1
210,WS House Blend 5lb,Wholesale Beans,Wholesale,House Blend,39.0,21.77,2022-01-01,0
211,WS Colombia Huila 2lb,Wholesale Beans,Wholesale,Colombia Huila,42.5,26.07,2022-01-01,0
212,WS Guatemala Antigua 5lb,Wholesale Beans,Wholesale,Guatemala Antigua,53.0,34.02,2022-01-01,1
213,WS Bridgetown Blend 2lb,Wholesale Beans,Wholesale,Bridgetown Blend,22.0,11.26,2022-01-01,1
214,WS Peru Cajamarca 2lb,Wholesale Beans,Wholesale,Peru Cajamarca,40.0,27.19,2022-01-01,1
215,WS Costa Rica Tarrazu 5lb,Wholesale Beans,Wholesale,Costa Rica Tarrazu,19.5,11.6,2024-09-01,1
216,WS Guatemala Antigua 2lb,Wholesale Beans,Wholesale,Guatemala Antigua,34.5,24.24,2022-01-01,0
217,WS Ethiopia Guji 5lb,Wholesale Beans,Wholesale,Ethiopia Guji,34.5,19.3,2023-01-01,0
218,WS Espresso Blend 5lb,Wholesale Beans,Wholesale,Espresso Blend,28.0,18.92,2022-06-01,0
219,WS Ethiopia Yirgacheffe 2lb,Wholesale Beans,Wholesale,Ethiopia Yirgacheffe,24.5,15.34,2022-06-01,0
220,WS Rose City Roast 5lb,Wholesale Beans,Wholesale,Rose City Roast,29.5,17.76,2022-01-01,1
221,WS Bridgetown Blend 5lb,Wholesale Beans,Wholesale,Bridgetown Blend,30.0,21.08,2022-01-01,1
222,WS Colombia Huila 2lb,Wholesale Beans,Wholesale,Colombia Huila,17.0,9.22,2022-06-01,0
223,WS Rose City Roast 5lb,Wholesale Beans,Wholesale,Rose City Roast,34.5,22.58,2022-01-01,1
224,WS Colombia Huila 5lb,Wholesale Beans,Wholesale,Colombia Huila,43.5,26.74,2023-01-01,1
225,WS Espresso Blend 2lb,Wholesale Beans,Wholesale,Espresso Blend,23.0,12.12,2022-01-01,1
226,WS Cascade Blend 5lb,Wholesale Beans,Wholesale,Cascade Blend,25.0,15.4,2022-01-01,1
227,WS Rwanda Nyungwe 5lb,Wholesale Beans,Wholesale,Rwanda Nyungwe,22.0,11.64,2023-07-01,0
228,WS Rwanda Nyungwe 2lb,Wholesale Beans,Wholesale,Rwanda Nyungwe,37.0,23.03,2022-06-01,1
229,WS Mexico Chiapas 2lb,Wholesale Beans,Wholesale,Mexico Chiapas,26.5,17.14,2022-01-01,1
230,WS Cascade Blend 5lb,Wholesale Beans,Wholesale,Cascade Blend,27.0,15.78,2024-01-01,1
231,WS Pearl District Reserve 2lb,Wholesale Beans,Wholesale,Pearl District Reserve,40.5,25.05,2022-01-01,1
232,WS House Blend 2lb,Wholesale Beans,Wholesale,House Blend,45.5,34.14,2024-09-01,1
233,WS Kenya AA 2lb,Wholesale Beans,Wholesale,Kenya AA,36.0,22.37,2023-07-01,1
234,WS Pearl District Reserve 2lb,Wholesale Beans,Wholesale,Pearl District Reserve,40.5,30.28,2024-09-01,1
235,WS Kenya AA 5lb,Wholesale Beans,Wholesale,Kenya AA,42.5,28.81,2024-09-01,0
236,WS Pearl District Reserve 5lb,Wholesale Beans,Wholesale,Pearl District Reserve,17.5,13.45,2022-01-01,1
237,WS Willamette Dark 5lb,Wholesale Beans,Wholesale,Willamette Dark,43.5,24.87,2023-07-01,0
238,WS Kenya AA 5lb,Wholesale Beans,Wholesale,Kenya AA,26.5,15.83,2022-01-01,1
239,WS Mexico Chiapas 2lb,Wholesale Beans,Wholesale,Mexico Chiapas,44.5,31.76,2022-01-01,1
240,WS Brazil Cerrado 2lb,Wholesale Beans,Wholesale,Brazil Cerrado,50.5,29.06,2022-01-01,0
241,WS Peru Cajamarca 2lb,Wholesale Beans,Wholesale,Peru Cajamarca,22.0,11.19,2022-01-01,1
242,WS Kenya AA 2lb,Wholesale Beans,Wholesale,Kenya AA,37.5,22.29,2024-01-01,1
243,WS Rwanda Nyungwe 2lb,Wholesale Beans,Wholesale,Rwanda Nyungwe,20.5,13.61,2022-01-01,0
244,WS Mexico Chiapas 2lb,Wholesale Beans,Wholesale,Mexico Chiapas,27.5,16.47,2022-01-01,1
245,WS Ethiopia Yirgacheffe 5lb,Wholesale Beans,Wholesale,Ethiopia Yirgacheffe,38.0,24.14,2022-01-01,0
246,WS Cascade Blend 2lb,Wholesale Beans,Wholesale,Cascade Blend,34.0,20.31,2023-07-01,1
247,WS Guatemala Antigua 5lb,Wholesale Beans,Wholesale,Guatemala Antigua,36.5,20.81,2022-01-01,1
248,WS House Blend 5lb,Wholesale Beans,Wholesale,House Blend,19.0,11.58,2022-06-01,1
249,WS Pearl District Reserve 5lb,Wholesale Beans,Wholesale,Pearl District Reserve,63.5,40.0,2022-01-01,1
250,WS Costa Rica Tarrazu 2lb,Wholesale Beans,Wholesale,Costa Rica Tarrazu,38.5,25.99,2022-01-01,0
251,WS Guatemala Antigua 5lb,Wholesale Beans,Wholesale,Guatemala Antigua,40.5,20.58,2022-06-01,1
252,WS Espresso Blend 2lb,Wholesale Beans,Wholesale,Espresso Blend,38.0,24.3,2022-06-01,1
253,WS Rwanda Nyungwe 2lb,Wholesale Beans,Wholesale,Rwanda Nyungwe,24.5,14.23,2024-01-01,1
254,WS Rose City Roast 5lb,Wholesale Beans,Wholesale,Rose City Roast,26.0,14.15,2022-06-01,0
255,WS Brazil Cerrado 2lb,Wholesale Beans,Wholesale,Brazil Cerrado,21.5,13.29,2024-09-01,1
256,WS Honduras Marcala 5lb,Wholesale Beans,Wholesale,Honduras Marcala,24.0,16.19,2024-01-01,1
257,WS Guatemala Antigua 2lb,Wholesale Beans,Wholesale,Guatemala Antigua,34.5,23.31,2022-01-01,1
258,WS Espresso Blend 2lb,Wholesale Beans,Wholesale,Espresso Blend,19.5,15.55,2022-01-01,1
259,WS Colombia Huila 2lb,Wholesale Beans,Wholesale,Colombia Huila,38.0,20.28,2022-01-01,1
260,WS Willamette Dark 5lb,Wholesale Beans,Wholesale,Willamette Dark,26.5,17.37,2022-01-01,1
261,WS Willamette Dark 2lb,Wholesale Beans,Wholesale,Willamette Dark,37.5,23.51,2022-01-01,0
